Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalizationBN,SharesOutstandingMn,AnneeFiscale,DateRapport,NetIncomeBN,TotalRevenueBN,TotalEquityBN,TotalAssetsBN,TotalDebtBN,EPS,EOD_Close_Price,ROE_calcule,ROA_calcule,DebtToEquity_calcule,PER_calcule,Dividendes_Annuels,Annual_Volume_Traded_BN,%MargeNette,%Gearing,%PayOut,Croissance de l'EPS (en %)
A,A,A,USA,Healthcare,Diagnostics & Research,United States,1.274,40.07099310272754,296.040992,2022,2022-10-31,1.254,6.848,5.305,10.532,2.769,4.19,135.35623168945312,0.2363807728557964,0.1190657045195594,0.0691023552349023,32.30458990201745,1.065,0.4272828,18.311915887850468,52.19604147031103,25.417661097852022,
A,A,A,USA,Healthcare,Diagnostics & Research,United States,1.274,29.799301014,292.587008,2023,2023-10-31,1.24,6.833,5.845,10.763,2.735,4.22,101.84765625,0.2121471343028229,0.1152095140760011,0.0917806762888522,24.134515699052137,0.911,0.4612575,18.147226693985072,46.792130025662956,21.587677725118485,0.7159904534606021
A,A,A,USA,Healthcare,Diagnostics & Research,United States,1.274,37.14044974511719,287.328,2024,2024-10-31,1.289,6.51,5.898,11.846,3.39,4.44,129.26150512695312,0.2185486605629026,0.1088131014688502,0.0912751467272062,29.11295160516962,0.956,0.4310391,19.80030721966206,57.47711088504578,21.531531531531527,5.213270142180115
AAPL,AAPL,AAPL,USA,Technology,Consumer Electronics,United States,1.107,2184.35296760489,16070.800384,2022,2022-09-30,99.803,394.328,50.672,352.755,132.48,6.15,135.9206085205078,1.969588727502368,0.2829244092925685,0.0606495387717774,22.10091195455411,0.91,22.0655045,25.309640705199733,261.4461635617304,14.796747967479673,
AAPL,AAPL,AAPL,USA,Technology,Consumer Electronics,United States,1.107,2687.4877949013126,15634.199552,2023,2023-09-30,96.995,383.285,62.146,352.583,111.088,6.16,171.89801025390625,1.5607601454639075,0.2750983456377647,0.0413352574887058,27.90552114511465,0.95,14.8058869,25.30623426432028,178.75325845589418,15.42207792207792,0.1626016260162677
AAPL,AAPL,AAPL,USA,Technology,Consumer Electronics,United States,1.107,3533.549487505781,15250.799616,2024,2024-09-30,93.736,391.035,56.95,364.98,106.629,6.11,231.69601440429688,1.6459350307287095,0.2568250315085758,0.0301761728191518,37.92078795487674,0.99,14.3514278,23.971255769943866,187.23266022827042,16.20294599018003,-0.8116883116883078
ABBV,ABBV,ABBV,USA,Healthcare,Drug Manufacturers - General,United States,0.349,206.42123938514064,1767.879936,2021,2021-12-31,11.542,56.197,15.408,146.529,76.684,6.527034,116.76202392578124,0.7490913811007269,0.0787693903595875,0.3714927796597667,17.888986624825495,5.2,1.7145849,20.538462907272628,497.68951194184837,79.66865194818965,
ABBV,ABBV,ABBV,USA,Healthcare,Drug Manufacturers - General,United States,0.349,257.2852090600586,1768.48,2022,2022-12-31,11.836,58.054,17.254,138.805,63.271,6.6901,145.4838104248047,0.6859858583516866,0.0852707035049169,0.2459177510870068,21.746133903051476,5.64,1.6230638,20.387914700106798,366.70337313086816,84.30367259084318,2.498316999727601
ABNB,ABNB,ABNB,USA,Consumer Cyclical,Travel Services,United States,1.118,53.75673030375147,633.177024,2022,2022-12-31,1.893,8.399,5.56,16.038,2.341,2.97,84.9000015258789,0.3404676258992806,0.1180321735877291,0.0435480355068513,28.585859099622525,0.0,1.618238,22.538397428265274,42.1043165467626,0.0,
ABNB,ABNB,ABNB,USA,Consumer Cyclical,Travel Services,United States,1.118,86.19172789334863,640.926016,2023,2023-12-31,4.792,9.917,8.165,20.645,2.304,7.52,134.47999572753906,0.5868952847519902,0.2321143133930734,0.0267311035097348,17.882978155257856,0.0,1.5454268,48.3210648381567,28.218003674219226,0.0,153.19865319865315
ABNB,ABNB,ABNB,USA,Consumer Cyclical,Travel Services,United States,1.118,82.10128660286328,624.771968,2024,2024-12-31,2.648,11.102,8.412,20.959,2.294,4.19,131.41000366210938,0.3147883975273419,0.1263419056252683,0.027941096844151,31.362769370431828,0.0,1.1344842,23.851558277787788,27.27056585829767,0.0,-44.281914893617014
ABT,ABT,ABT,USA,Healthcare,Medical Devices,United States,0.714,230.89149960507424,1768.290048,2021,2021-12-31,7.071,43.075,35.802,75.196,19.006,4.008317,130.5733184814453,0.1975029327970504,0.0940342571413373,0.0823157198619637,32.575596810692694,1.8,1.3464789,16.415554265815434,53.086419753086425,44.90662789395151,
ABT,ABT,ABT,USA,Healthcare,Medical Devices,United States,0.714,180.2331732102129,1743.570048,2022,2022-12-31,6.933,43.653,36.686,74.438,17.716,3.989538,103.37019348144533,0.1889821730360355,0.0931379134313119,0.098294890360373,25.91031680396209,1.88,1.3850501,15.882069960827435,48.29090116120591,47.12325086263121,-0.4685008695669457
ABT,ABT,ABT,USA,Healthcare,Medical Devices,United States,0.714,183.4979241756377,1736.060032,2023,2023-12-31,5.723,40.109,38.603,73.214,15.628,3.300316,105.69791412353516,0.1482527264720358,0.0781681099243314,0.0851671759787398,32.026604156552025,2.04,1.292946,14.268618015906654,40.48390021500919,61.812262825741534,-17.27573468406618
