Ticker,YahooTicker,Nom,Zone,AnneeFiscale,DateRapport,Sector,Industry,Country,Beta,MarketCapitalization,SharesOutstanding,PER_calcule,ROE_calcule,ROA_calcule,DebtToEquity_calcule,EPS,EOD_Close_Price,NetIncome,TotalRevenue,TotalEquity,TotalAssets,TotalDebt,Dividendes_Annuels,Annual_Volume_Traded
ACN,ACN,ACN,USA,2022,2022-08-31,Technology,Information Technology Services,Ireland,1.261,175945765562.71875,641428992.0,25.234847783823025,0.31109829111850906,0.14550731549302748,0.01890216561542926,10.87,274.30279541015625,6877169000.0,61594305000.0,22106097000.0,47263390000.0,3325756000.0,4.03,586669100.0
ACN,ACN,ACN,USA,2021,2021-08-31,Technology,Information Technology Services,Ireland,1.261,200514115377.4043,634137024.0,33.963478162132446,,,,9.31,316.1999816894531,,,,,,3.6100000000000003,500644900.0
ADBE,ADBE,ADBE,USA,2024,2024-11-30,Technology,Software - Application,United States,1.54,227231245373.53516,440200000.0,41.52856091770163,0.3941864587025877,0.18392325504465762,0.026651264398277693,12.43,516.2000122070312,5560000000.0,21505000000.0,14105000000.0,30230000000.0,6056000000.0,,827315000.0
ADBE,ADBE,ADBE,USA,2023,2023-11-30,Technology,Software - Application,United States,1.54,278192857446.28906,455300000.0,51.475148253211884,0.32861121201113935,0.18227610060781088,0.014666084663182732,11.87,611.010009765625,5428000000.0,19409000000.0,16518000000.0,29779000000.0,4080000000.0,,778164900.0
ADBE,ADBE,ADBE,USA,2022,2022-11-30,Technology,Software - Application,United States,1.54,163935567479.0039,475272000.0,34.05034478536833,0.3384812468863426,0.17507822565801584,0.028261103256883975,10.13,344.92999267578125,4756000000.0,17606000000.0,14051000000.0,27165000000.0,4633000000.0,,893341000.0
ADBE,ADBE,ADBE,USA,2021,2021-11-30,Technology,Software - Application,United States,1.54,318714618383.78906,475800000.0,66.32177976098392,0.3258768669324863,0.1770125913145626,0.014662019657889921,10.1,669.8499755859375,4822000000.0,15785000000.0,14797000000.0,27241000000.0,4673000000.0,,596439100.0
ADI,ADI,ADI,USA,2024,2024-10-31,Technology,Semiconductors,United States,1.039,108515923825.68457,496492992.0,66.231777306759,0.04648789695635276,0.03390693389274512,0.07049487974030746,3.3,218.5648651123047,1635273000.0,9427157000.0,35176317000.0,48228277000.0,7649817000.0,3.68,807568900.0
ADI,ADI,ADI,USA,2023,2023-10-31,Technology,Semiconductors,United States,1.039,75485581040.46094,498313984.0,22.951812744140625,0.09319745901616758,0.06792938741961745,0.09291149254373116,6.6,151.48196411132812,3314579000.0,12305539000.0,35565122000.0,48794478000.0,7013478000.0,3.44,837704700.0
ADI,ADI,ADI,USA,2022,2022-10-31,Technology,Semiconductors,United States,1.039,69326846227.94922,514342016.0,25.47966825488835,0.07537465114459564,0.054640807039830146,0.09523371333367091,5.29,134.78744506835938,2748561000.0,12013953000.0,36465323000.0,50302350000.0,6602253000.0,3.04,908667500.0
ADI,ADI,ADI,USA,2021,2021-10-31,Technology,Semiconductors,United States,1.039,87279439533.67871,537411008.0,,,,,,162.40724182128906,,,,,,2.76,883133100.0
ADM,ADM,ADM,USA,2024,2024-12-31,Consumer Defensive,Farm Products,United States,0.686,23267639505.182617,478534016.0,12.912042501802665,0.0811981234211476,0.0337894914681534,0.4958818447152765,3.76569,48.62274932861328,1800000000.0,85530000000.0,22168000000.0,53271000000.0,11538000000.0,2.0,1031703200.0
ADM,ADM,ADM,USA,2023,2023-12-31,Consumer Defensive,Farm Products,United States,0.686,36050490878.03027,533380992.0,10.495128986998374,0.14433117851815017,0.06375501089125223,0.2661822284879885,6.44,67.58863067626953,3483000000.0,93935000000.0,24132000000.0,54631000000.0,9596000000.0,1.8,752246400.0
ADM,ADM,ADM,USA,2022,2022-12-31,Consumer Defensive,Farm Products,United States,0.686,44712499738.15625,549334016.0,10.258646879613343,0.17871849777631363,0.07260681901830227,0.23009225742797249,7.934186,81.39401245117188,4340000000.0,101556000000.0,24284000000.0,59774000000.0,10288000000.0,1.6,814871100.0
ADM,ADM,ADM,USA,2021,2021-12-31,Consumer Defensive,Farm Products,United States,0.686,33798242022.941162,561222976.0,12.449092421420785,0.12052320149486141,0.04825780247969218,0.31306362007875904,4.8375,60.22248458862305,2709000000.0,85249000000.0,22477000000.0,56136000000.0,10581000000.0,1.48,632537500.0
ADP,ADP,ADP,USA,2024,2024-06-30,Technology,Software - Application,United States,0.86,94011295438.51172,409291008.0,25.13052942455467,0.8250505761280675,0.06901791117806878,0.03531384164545831,9.14,229.6930389404297,3752000000.0,19202600000.0,4547600000.0,54362700000.0,3319900000.0,5.739999999999999,416172900.0
ADP,ADP,ADP,USA,2023,2023-06-30,Technology,Software - Application,United States,0.86,86524805295.71973,413123008.0,25.386761289654356,0.972329087230344,0.06694002471993879,0.03858893398937439,8.25,209.44078063964844,3412000000.0,18012200000.0,3509100000.0,50971000000.0,3338900000.0,5.15,439269100.0
ADP,ADP,ADP,USA,2022,2022-06-30,Technology,Software - Application,United States,0.86,81908525824.86328,417747008.0,27.851148085160688,0.9143025454996434,0.04675731985374563,0.040996953200941155,7.04,196.07208251953125,2948900000.0,16498300000.0,3225300000.0,63068200000.0,3358000000.0,4.37,451671200.0
ADSK,ADSK,ADSK,USA,2024,2024-01-31,Technology,Software - Application,United States,1.475,54443259716.30859,214504000.0,60.00236348902925,0.4884097035040431,0.09140435835351089,0.04823370264167662,4.23,253.80999755859375,906000000.0,5497000000.0,1855000000.0,9912000000.0,2626000000.0,,397527500.0
ADSK,ADSK,ADSK,USA,2023,2023-01-31,Technology,Software - Application,United States,1.475,46424430231.44238,215767008.0,56.472441906065455,0.7187772925764192,0.08720067810976902,0.05742666063340006,3.81,215.16000366210938,823000000.0,5005000000.0,1145000000.0,9438000000.0,2666000000.0,,350634300.0
ADSK,ADSK,ADSK,USA,2022,2022-01-31,Technology,Software - Application,United States,1.475,54947052194.81055,219972992.0,110.5265457018287,0.585394581861013,0.05774369699082142,0.05570817501087156,2.26,249.7899932861328,497000000.0,4386000000.0,849000000.0,8607000000.0,3061000000.0,,424143700.0
ADSK,ADSK,ADSK,USA,2021,2021-01-31,Technology,Software - Application,United States,1.475,62958617799.95508,219888992.0,,,,,,286.32000732421875,,,,,,,340102800.0
AEE,AEE,AEE,USA,2024,2024-12-31,Utilities,Utilities - Regulated Electric,United States,0.581,23115962356.20117,266928000.0,19.54853066472383,0.09757305596830114,0.02650343064711422,0.8099165291717811,4.43,86.59999084472656,1182000000.0,7623000000.0,12114000000.0,44598000000.0,18722000000.0,2.68,392326300.0
AEE,AEE,AEE,USA,2023,2023-12-31,Utilities,Utilities - Regulated Electric,United States,0.581,18274309825.67163,262944992.0,15.831117043462594,0.10150674068199841,0.028214548126377664,0.9032352060055631,4.39,69.49860382080078,1152000000.0,7500000000.0,11349000000.0,40830000000.0,16506000000.0,2.52,381627900.0
AEE,AEE,AEE,USA,2022,2022-12-31,Utilities,Utilities - Regulated Electric,United States,0.581,20824391671.37146,258522000.0,19.36339415036715,0.10220784164446137,0.028334740396791895,0.7248711145186537,4.16,80.55171966552734,1074000000.0,7957000000.0,10508000000.0,37904000000.0,15095000000.0,2.36,339750100.0
AEE,AEE,AEE,USA,2021,2021-12-31,Utilities,Utilities - Regulated Electric,United States,0.581,20334470956.817627,257606000.0,20.44982514850834,0.10206185567010309,0.027703931719602632,0.6694051706044629,3.86,78.93632507324219,990000000.0,6394000000.0,9700000000.0,35735000000.0,13612000000.0,2.2,322274800.0
