Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalizationBN,SharesOutstanding,AnneeFiscale,DateRapport,PER_calcule,ROE_calcule,ROA_calcule,DebtToEquity_calcule,EPS,EOD_Close_Price,NetIncomeBN,TotalRevenueBN,TotalEquityBN,TotalAssetsBN,TotalDebtBN,Dividendes_Annuels,Annual_Volume_Traded_BN,%MargeNette,%Gearing,%PayOut,Croissance de l'EPS (en %)
ADI,ADI,ADI,USA,Technology,Semiconductors,United States,1.039,69.3268697726582,514342016.0,2022,2022-10-31,25.47967690826589,0.0753746511445956,0.0546408070398301,0.0952336809905105,5.29,134.78749084472656,2.748561,12.013953,36.465323,50.30235,6.602253,3.04,0.9086675,22.878073520014603,18.105565663027313,57.46691871455577,
ADI,ADI,ADI,USA,Technology,Semiconductors,United States,1.039,75.48558864412891,498313984.0,2023,2023-10-31,22.951815056078363,0.0931974590161675,0.0679293874196174,0.0929114831847508,6.6,151.4819793701172,3.314579,12.305539,35.565122,48.794478,7.013478,3.44,0.8377047,26.935666938278775,19.72010105855956,52.121212121212125,24.763705103969748
ADM,ADM,ADM,USA,Consumer Defensive,Farm Products,United States,0.686,33.79823988204541,561222976.0,2021,2021-12-31,12.449091632852872,0.1205232014948614,0.0482578024796921,0.3130636399092761,4.8375,60.22248077392578,2.709,85.249,22.477,56.136,10.581,1.48,0.6325375,3.1777498856291575,47.074787560617516,30.594315245478032,
ADM,ADM,ADM,USA,Consumer Defensive,Farm Products,United States,0.686,44.71249973815625,549334016.0,2022,2022-12-31,10.258646879613345,0.1787184977763136,0.0726068190183022,0.2300922574279724,7.934186,81.39401245117188,4.34,101.556,24.284,59.774,10.288,1.6,0.8148711,4.273504273504273,42.36534343600725,20.16589981631386,64.01418087855298
ADM,ADM,ADM,USA,Consumer Defensive,Farm Products,United States,0.686,36.05048680865625,533380992.0,2023,2023-12-31,10.49512780230978,0.1443311785181501,0.0637550108912522,0.2661822585346021,6.44,67.588623046875,3.483,93.935,24.132,54.631,9.596,1.8,0.7522464,3.7078831106616277,39.76462787999337,27.95031055900621,-18.832253239336715
ADM,ADM,ADM,USA,Consumer Defensive,Farm Products,United States,0.686,23.26763767972021,478534016.0,2024,2024-12-31,12.912041488788512,0.0811981234211476,0.0337894914681534,0.4958818836196842,3.76569,48.622745513916016,1.8,85.53,22.168,53.271,11.538,2.0,1.0317032,2.104524728165556,52.04799711295561,53.11111642222275,-41.52655279503106
ADP,ADP,ADP,USA,Technology,Software - Application,United States,0.86,81.90851307623633,417747008.0,2022,2022-06-30,27.851143750277437,0.9143025454996434,0.0467573198537456,0.0409969595819001,7.04,196.07205200195312,2.9489,16.4983,3.2253,63.0682,3.358,4.37,0.4516712,17.873962771921956,104.11434595231452,62.07386363636363,
ADP,ADP,ADP,USA,Technology,Software - Application,United States,0.86,86.52480529571973,413123008.0,2023,2023-06-30,25.38676128965436,0.972329087230344,0.0669400247199387,0.0385889339893743,8.25,209.44078063964844,3.412,18.0122,3.5091,50.971,3.3389,5.15,0.4392691,18.94271660319117,95.14975349804794,62.42424242424243,17.1875
ADP,ADP,ADP,USA,Technology,Software - Application,United States,0.86,94.01130168379687,409291008.0,2024,2024-06-30,25.130531094006425,0.8250505761280675,0.0690179111780687,0.0353138392995168,9.14,229.69305419921875,3.752,19.2026,4.5476,54.3627,3.3199,5.739999999999999,0.4161729,19.53902075760574,73.00334242237663,62.80087527352296,10.78787878787879
AEE,AEE,AEE,USA,Utilities,Utilities - Regulated Electric,United States,0.581,20.334470956817626,257606000.0,2021,2021-12-31,20.44982514850834,0.102061855670103,0.0277039317196026,0.6694051706044629,3.86,78.93632507324219,0.99,6.394,9.7,35.735,13.612,2.2,0.3222748,15.483265561463872,140.32989690721652,56.994818652849744,
