Ticker,YahooTicker,Nom,Zone,AnneeFiscale,DateRapport,Sector,Industry,Country,Beta,MarketCapitalizationBN,SharesOutstandingMn,PER_calcule,ROE_calcule,ROA_calcule,DebtToEquity_calcule,EPS,EOD_Close_Price,NetIncomeBN,TotalRevenueBN,TotalEquityBN,TotalAssetsBN,TotalDebtBN,Dividendes_Annuels,Annual_Volume_Traded_BN,%MargeNette,%PayOut,Croissance de l'EPS (en %)
AM,AM.PA,Dassault Aviation,Eurostoxx,2023,2023-12-31,Industrials,Aerospace & Defense,France,0.42,13.823257457092284,79.258,20.351033338727028,0.1207659306031051,0.0295218841709322,0.0189851777567343,8.57,174.40835571289062,0.693398,4.804891,5.741669,23.487593,0.262437,3.0,0.012801359,14.431086990318823,35.00583430571762,-0.5800464037122866
AM,AM.PA,Dassault Aviation,Eurostoxx,2024,2024-12-31,Industrials,Aerospace & Defense,France,0.42,15.186101149197265,78.198496,16.48551798433521,0.1458978700380338,0.0317303707091567,0.0156562897654983,11.78,194.19940185546875,0.923824,6.239708,6.331991,29.114819,0.237758,3.37,0.01137296,14.805564619370006,28.607809847198645,37.45624270711785
AMS,AMS.MC,Amadeus IT Group S.A.,Eurostoxx,2022,2022-12-31,Technology,Information Technology Services,Spain,0.704,21.08701763973999,450.024,31.66050008825354,0.1448693907810387,0.0567160356822741,0.2091903215221283,1.48,46.857540130615234,0.6644,4.4859,4.5862,11.7145,4.4112,0.0,0.197683155,14.810851780021848,0.0,
AMS,AMS.MC,Amadeus IT Group S.A.,Eurostoxx,2023,2023-12-31,Technology,Information Technology Services,Spain,0.704,27.368419773450682,441.116992,24.817379760742188,0.2492751037159298,0.103525575708172,0.1208875056501976,2.5,62.04344940185547,1.1176,5.4412,4.4834,10.7954,3.3085,0.74,0.186952981,20.53958685584062,29.599999999999998,68.91891891891892
AMS,AMS.MC,Amadeus IT Group S.A.,Eurostoxx,2024,2024-12-31,Technology,Information Technology Services,Spain,0.704,29.115003241635495,435.519008,23.29312899386841,0.2474524054032704,0.1063279108644552,0.1159436587378643,2.87,66.85128021240234,1.253,6.1417,5.0636,11.7843,3.3757,1.24,0.172515796,20.401517495156064,43.20557491289199,14.800000000000013
AMUN,AMUN.PA,Amundi,Eurostoxx,2021,2021-12-31,Financial Services,Asset Management,France,1.082,11.228064725329345,201.900992,8.238775747793692,0.1283366401880877,0.0476860919749438,0.2171513132178245,6.75,55.61173629760742,1.36945,5.790594,10.670764,28.718017,2.438189,2.9,0.035862232,23.64955995878834,42.96296296296296,
AMUN,AMUN.PA,Amundi,Eurostoxx,2022,2022-12-31,Financial Services,Asset Management,France,1.082,9.11533408607483,203.604,8.47915085879239,0.0973818662738436,0.0375205456608836,0.2223331565099766,5.28,44.76991653442383,1.073716,5.872187,11.025831,28.616748,2.026641,4.1,0.049656549,18.284771925689693,77.65151515151514,-21.777777777777775
AMUN,AMUN.PA,Amundi,Eurostoxx,2023,2023-12-31,Financial Services,Asset Management,France,1.082,11.124489407920835,203.35,9.597564831114653,0.1024609705770516,0.0323481943147649,0.1969269707282182,5.7,54.70611953735352,1.164884,5.618075,11.369051,36.010789,2.190712,4.1,0.033952265,20.734575455115852,71.92982456140349,7.954545454545459
AMUN,AMUN.PA,Amundi,Eurostoxx,2024,2024-12-31,Financial Services,Asset Management,France,1.082,12.392505723965332,204.740992,9.501997080852323,0.1087367520193984,0.0340741679082776,0.1901965633505317,6.37,60.5277214050293,1.305122,6.192802,12.002584,38.302388,2.357012,4.1,0.038010029,21.07482202725034,64.36420722135007,11.754385964912274
ANDR,ANDR.VI,Andritz AG,Eurostoxx,2021,2021-12-31,Industrials,Industrial Distribution,Austria,1.197,3.8342056982149657,99.255904,11.77728583173054,0.2067191667725136,0.0424225836721926,0.3567622886369484,3.28,38.62949752807617,0.3255,6.463,1.5746,7.6728,1.3679,1.0,0.039862671,5.036360823147145,30.48780487804878,
