Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalization,SharesOutstanding,AnneeFiscale,DateRapport,PER_calcule,ROE_calcule,ROA_calcule,DebtToEquity_calcule,EPS,EOD_Close_Price,NetIncome,TotalRevenue,TotalEquity,TotalAssets,TotalDebt,Dividendes_Annuels,Annual_Volume_Traded
AAK,AAK.ST,AAK AB,Eurostoxx,Consumer Defensive,Packaged Foods,Sweden,0.514,47860708086.66455,258495008.0,2021,2021-12-31,33.12189310309286,0.12195535941610795,0.05289700360745049,0.09538095407476739,5.59,185.15138244628906,1437000000.0,35452000000.0,11783000000.0,27166000000.0,4565000000.0,2.3,91866500.0
AAL,AAL.L,Anglo American plc,Eurostoxx,Basic Materials,Other Industrial Metals & Mining,United Kingdom,0.879,2818209515001.125,1215449984.0,2024,2024-12-31,-807.1614721129331,-0.14778420038535645,-0.04729750562698486,0.006461549399741038,-2.872604,2318.6552734375,-3068000000.0,27290000000.0,20760000000.0,64866000000.0,18210000000.0,73.6533,1195992226.0
AAL,AAL.L,Anglo American plc,Eurostoxx,Basic Materials,Other Industrial Metals & Mining,United Kingdom,0.879,2581185270023.25,1337580032.0,2023,2023-12-31,7389.516499510811,0.011294249112024583,0.004252825198364992,0.00655202871192879,0.261146,1929.74267578125,283000000.0,30652000000.0,25057000000.0,66544000000.0,16912000000.0,116.9865,1115836574.0
AAL,AAL.L,Anglo American plc,Eurostoxx,Basic Materials,Other Industrial Metals & Mining,United Kingdom,0.879,4306089513424.75,1345020032.0,2022,2022-12-31,757.9771197099734,0.16523903653268907,0.06696633880754224,0.0033359733826283434,4.22375,3201.505859375,4514000000.0,35118000000.0,27318000000.0,67407000000.0,14365000000.0,268.2558,1000375100.0
AAL,AAL.L,Anglo American plc,Eurostoxx,Basic Materials,Other Industrial Metals & Mining,United Kingdom,0.879,3966468059447.0625,1343149952.0,2021,2021-12-31,375.31068894725354,0.3077088948787062,0.12975676290065924,0.0032411706856886086,7.868438,2953.10888671875,8562000000.0,41554000000.0,27825000000.0,65985000000.0,12856000000.0,265.1777,930902773.0
AALB,AALB.AS,Aalberts NV,Eurostoxx,Industrials,Specialty Industrial Machinery,Netherlands,1.202,3661998171.5774536,111230000.0,2024,2024-12-31,20.322689009301456,0.07040371083769016,0.042340425531914895,0.18749326674410602,1.62,32.92275619506836,179100000.0,3148600000.0,2543900000.0,4230000000.0,686600000.0,1.13,39199468.0
AALB,AALB.AS,Aalberts NV,Eurostoxx,Industrials,Specialty Industrial Machinery,Netherlands,1.202,4077880689.556122,111341000.0,2023,2023-12-31,12.805996074543133,0.12810319649521337,0.0763115288886741,0.1722953792638985,2.86,36.62514877319336,315800000.0,3324000000.0,2465200000.0,4138300000.0,702600000.0,1.11,51072608.0
AALB,AALB.AS,Aalberts NV,Eurostoxx,Industrials,Specialty Industrial Machinery,Netherlands,1.202,3712384433.670044,110580000.0,2022,2022-12-31,11.697537890710066,0.13686162870945479,0.07535564157978483,0.23510496167476774,2.87,33.57193374633789,317300000.0,3230000000.0,2318400000.0,4210700000.0,872800000.0,1.65,57008428.0
AALB,AALB.AS,Aalberts NV,Eurostoxx,Industrials,Specialty Industrial Machinery,Netherlands,1.202,5647802295.227051,110580000.0,2021,2021-12-31,15.666980392362444,0.16798059429957551,0.09851448581511778,0.09966708651889354,3.26,51.07435607910156,360100000.0,2979100000.0,2143700000.0,3655300000.0,562900000.0,0.6,47656197.0
ABBN,ABBN.SW,ABB Ltd.,Eurostoxx,Industrials,Electrical Equipment & Parts,Switzerland,0.841,88651381748.04688,1838560000.0,2024,2024-12-31,22.637480973078052,0.271604086140254,0.09750476992838912,0.08810917377688914,2.13,48.21783447265625,3935000000.0,32850000000.0,14488000000.0,40357000000.0,7811000000.0,0.87,713724537.0
ABBN,ABBN.SW,ABB Ltd.,Eurostoxx,Industrials,Electrical Equipment & Parts,Switzerland,0.841,63941788684.367676,1842290048.0,2023,2023-12-31,17.182066889092475,0.27926920208799405,0.09147532975085491,0.13673374142155437,2.02,34.7077751159668,3745000000.0,32235000000.0,13410000000.0,40940000000.0,8743000000.0,0.84,826940443.0
ABBN,ABBN.SW,ABB Ltd.,Eurostoxx,Industrials,Electrical Equipment & Parts,Switzerland,0.841,50089176307.56445,1866380032.0,2022,2022-12-31,20.64431410569411,0.19370744306175158,0.06322162051701237,0.17067559561183945,1.3,26.837608337402344,2475000000.0,29446000000.0,12777000000.0,39148000000.0,8549000000.0,0.82,1106068834.0
ABBN,ABBN.SW,ABB Ltd.,Eurostoxx,Industrials,Electrical Equipment & Parts,Switzerland,0.841,61292498975.88867,1992999936.0,2021,2021-12-31,13.547968759410708,0.2918030682328776,0.11291604570293094,0.10572256162290122,2.27,30.753889083862305,4546000000.0,28945000000.0,15579000000.0,40260000000.0,6480000000.0,0.8,1291146349.0
ABDN,ABDN.L,Aberdeen Group Plc,Eurostoxx,Financial Services,Asset Management,United Kingdom,1.349,255102631169.625,1808749952.0,2024,2024-12-31,1068.4703480113635,0.04926499801350814,0.03212019168501489,0.0023402345842643926,0.132,141.0380859375,248000000.0,1526000000.0,5034000000.0,7721000000.0,597000000.0,14.5999994,1627582713.0
ABDN,ABDN.L,Aberdeen Group Plc,Eurostoxx,Financial Services,Asset Management,United Kingdom,1.349,328481834247.9844,1883020032.0,2023,2023-12-31,174444.15283203125,0.002359882005899705,0.0014942099364960778,0.0018235407183819802,0.001,174.44415283203125,12000000.0,1448000000.0,5085000000.0,8031000000.0,599000000.0,14.5999994,2102881599.0
ABDN,ABDN.L,Aberdeen Group Plc,Eurostoxx,Financial Services,Asset Management,United Kingdom,1.349,377126153902.0078,2012659968.0,2022,2022-12-31,-699.1678494126049,-0.09374464438731792,-0.05937907077724707,0.00165461873578288,-0.268,187.37698364257812,-547000000.0,1392000000.0,5835000000.0,9212000000.0,624000000.0,14.5999994,2436981135.0
ABDN,ABDN.L,Aberdeen Group Plc,Eurostoxx,Financial Services,Asset Management,United Kingdom,1.349,523600998412.83594,2180720128.0,2021,2021-12-31,513.0440801636785,0.12662420382165604,0.08705552636188474,0.0013483549537530687,0.468,240.10462951660156,994000000.0,1450000000.0,7850000000.0,11418000000.0,706000000.0,14.5999994,1264602815.0
ABF,ABF.L,Associated British Foods plc,Eurostoxx,Consumer Defensive,Packaged Foods,United Kingdom,0.999,1835542849443.8438,739697984.0,2024,2024-08-31,1281.0924492610995,0.13007330591811192,0.07652256232249921,0.002003766897141305,1.937,2481.47607421875,1455000000.0,20073000000.0,11186000000.0,19014000000.0,3678000000.0,90.0,293473473.0
ABF,ABF.L,Associated British Foods plc,Eurostoxx,Consumer Defensive,Packaged Foods,United Kingdom,0.999,1577594478623.3125,767614016.0,2023,2023-09-30,1531.4399275801043,0.09411340484990535,0.05540225005306729,0.0023592881760387515,1.342,2055.1923828125,1044000000.0,19750000000.0,11093000000.0,18844000000.0,3722000000.0,60.000001,301409440.0
ABF,ABF.L,Associated British Foods plc,Eurostoxx,Consumer Defensive,Packaged Foods,United Kingdom,0.999,1531377572352.0312,769246976.0,2023,2023-08-31,1483.4194496029713,0.09411340484990535,0.05540225005306729,0.0024304913871001834,1.342,1990.7489013671875,1044000000.0,19750000000.0,11093000000.0,18844000000.0,3722000000.0,60.000001,301409440.0
ABF,ABF.L,Associated British Foods plc,Eurostoxx,Consumer Defensive,Packaged Foods,United Kingdom,0.999,997558506184.2188,791673984.0,2022,2022-09-30,,,,,,1260.062255859375,,,,,,43.699999,330953891.0
ABF,ABF.L,Associated British Foods plc,Eurostoxx,Consumer Defensive,Packaged Foods,United Kingdom,0.999,1470449382176.25,791673984.0,2021,2021-09-30,,,,,,1857.392578125,,,,,,40.5,293842538.0
ABI,ABI.BR,Anheuser-Busch InBev SA/NV,Eurostoxx,Consumer Defensive,Beverages - Brewers,Belgium,0.671,94530969177.04883,1998919936.0,2024,2024-12-31,16.195555909039225,0.07483671408668532,0.028334712563577676,0.7634535076524123,2.92,47.29102325439453,5855000000.0,59768000000.0,78237000000.0,206637000000.0,72170000000.0,0.82,362311375.0
ABI,ABI.BR,Anheuser-Busch InBev SA/NV,Eurostoxx,Consumer Defensive,Beverages - Brewers,Belgium,0.671,112569634633.5,1983320064.0,2023,2023-12-31,21.41818064563679,0.06525510702766103,0.024350323698367832,0.6943968527080722,2.65,56.7581787109375,5341000000.0,59380000000.0,81848000000.0,219340000000.0,78168000000.0,0.75,348426263.0
ABI,ABI.BR,Anheuser-Busch InBev SA/NV,Eurostoxx,Consumer Defensive,Beverages - Brewers,Belgium,0.671,107197858827.1289,1976169984.0,2022,2022-12-31,18.26439802895491,0.08132374179132947,0.02803097542534857,0.7461996058055258,2.97,54.245262145996094,5969000000.0,57786000000.0,73398000000.0,212943000000.0,79991000000.0,0.5,430393714.0
ABI,ABI.BR,Anheuser-Busch InBev SA/NV,Eurostoxx,Consumer Defensive,Beverages - Brewers,Belgium,0.671,87233706574.875,1737129984.0,2021,2021-12-31,21.552422322940416,0.06800739780687064,0.02145873444012002,1.0182990438879822,2.33,50.21714401245117,4670000000.0,54304000000.0,68669000000.0,217627000000.0,88830000000.0,0.5,411434377.0
ABN,ABN.AS,ABN AMRO Bank N.V. - NLDR,Eurostoxx,Financial Services,Banks - Diversified,Netherlands,0.763,11721529139.938354,838120000.0,2024,2024-12-31,5.141728765824261,0.09204780510227534,0.0062407965780800784,6.956259633581291,2.72,13.985502243041992,2403000000.0,8896000000.0,26106000000.0,385047000000.0,81538000000.0,1.49,710072887.0
ABN,ABN.AS,ABN AMRO Bank N.V. - NLDR,Eurostoxx,Financial Services,Banks - Diversified,Netherlands,0.763,10224729050.970154,865574976.0,2023,2023-12-31,3.9507170584688214,0.11160307870561946,0.0071366387146111895,7.06375686240283,2.99,11.812644004821777,2697000000.0,8586000000.0,24166000000.0,377909000000.0,72225000000.0,1.29,788758142.0
ABN,ABN.AS,ABN AMRO Bank N.V. - NLDR,Eurostoxx,Financial Services,Banks - Diversified,Netherlands,0.763,9211511648.035889,897521984.0,2022,2022-12-31,5.2363629243811785,0.08183930215228159,0.0049185812777773385,6.943702884383607,1.96,10.26327133178711,1867000000.0,7640000000.0,22813000000.0,379581000000.0,63962000000.0,0.9299999999999999,800330429.0
ABN,ABN.AS,ABN AMRO Bank N.V. - NLDR,Eurostoxx,Financial Services,Banks - Diversified,Netherlands,0.763,8741133308.410645,940000000.0,2021,2021-12-31,7.685188419562726,0.05596980994816768,0.003084339522892013,7.747507973003737,1.21,9.299077987670898,1231000000.0,7340000000.0,21994000000.0,399113000000.0,67722000000.0,0.68,896712160.0
AC,AC.PA,Accor,Eurostoxx,Consumer Cyclical,Lodging,France,0.835,11165163260.745117,243928992.0,2024,2024-12-31,19.560763367220886,0.1212241653418124,0.05059301650493489,0.3348809070392827,2.34,45.772186279296875,610000000.0,5606000000.0,5032000000.0,12057000000.0,3739000000.0,1.18,182939357.0
AC,AC.PA,Accor,Eurostoxx,Consumer Cyclical,Lodging,France,0.835,8701039325.822754,266003008.0,2023,2023-12-31,13.037063121059784,0.1283715270736159,0.056181769770125144,0.3871951239206052,2.509024,32.710304260253906,633000000.0,5056000000.0,4931000000.0,11267000000.0,3369000000.0,1.05,183241122.0
AC,AC.PA,Accor,Eurostoxx,Consumer Cyclical,Lodging,France,0.835,5750969201.774902,264140992.0,2022,2022-12-31,15.551676068987167,0.07946234433682546,0.03432084009220524,0.5765984625646394,1.4,21.77234649658203,402000000.0,4224000000.0,5059000000.0,11713000000.0,3316000000.0,,189891905.0
AC,AC.PA,Accor,Eurostoxx,Consumer Cyclical,Lodging,France,0.835,6809390751.953125,261856000.0,2021,2021-12-31,136.86491313733552,0.019845902404856407,0.007893026279134553,0.5179611698724085,0.19,26.00433349609375,85000000.0,2204000000.0,4283000000.0,10769000000.0,3527000000.0,,204553789.0
