Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalization,SharesOutstanding,AnneeFiscale,DateRapport,NetIncome,TotalRevenue,TotalEquity,TotalAssets,TotalDebt,EPS,EOD_Close_Price,ROE_calcule,ROA_calcule,DebtToEquity_calcule,PER_calcule,Dividendes_Annuels,Annual_Volume_Traded
ACGL,ACGL,ACGL,USA,Financial Services,Insurance - Diversified,Bermuda,0.447,34745946648.30029,376241984.0,2024,2024-12-31,4312000000.0,16930000000.0,20820000000.0,70906000000.0,2728000000.0,11.47,92.3499984741211,0.20710854947166185,0.06081290722928948,0.07851275510242714,8.05143840227734,5.0,425933600
ACGL,ACGL,ACGL,USA,Financial Services,Insurance - Diversified,Bermuda,0.447,26808820314.300537,373172000.0,2023,2023-12-31,4443000000.0,13297000000.0,18353000000.0,58906000000.0,2726000000.0,11.94,71.84038543701172,0.24208576254563285,0.07542525379418055,0.10168295240301488,6.01678269991723,,486664600
ACGL,ACGL,ACGL,USA,Financial Services,Insurance - Diversified,Bermuda,0.447,21967910929.083252,369872992.0,2022,2022-12-31,1476000000.0,9613000000.0,12910000000.0,47990000000.0,2725000000.0,3.9,59.39311981201172,0.11432997676219984,0.030756407584913523,0.12404456704130117,15.229005080003006,,581475000
ACGL,ACGL,ACGL,USA,Financial Services,Insurance - Diversified,Bermuda,0.447,16320896660.5625,386134016.0,2021,2021-12-31,2157000000.0,8923000000.0,13545896000.0,45100945000.0,2724394000.0,5.34,42.26744079589844,0.15923642112710742,0.04782604887768981,0.16692673550119175,7.91525108537424,,513902300
ACN,ACN,ACN,USA,Technology,Information Technology Services,Ireland,1.261,210277861959.47266,626384000.0,2024,2024-08-31,7264787000.0,64896464000.0,28288646000.0,55932363000.0,4120549000.0,11.57,335.7012023925781,0.25680928666575276,0.1298852151124028,0.019595733766753644,29.014797095296295,5.35,675323700
ACN,ACN,ACN,USA,Technology,Information Technology Services,Ireland,1.261,197512387496.95508,631302976.0,2023,2023-08-31,6871557000.0,64111745000.0,25692839000.0,51245305000.0,3149034000.0,10.9,312.8646545410156,0.2674502806015326,0.1340914450601865,0.015943475950583336,28.703179315689507,4.65,555028800
ACN,ACN,ACN,USA,Technology,Information Technology Services,Ireland,1.261,175945765562.71875,641428992.0,2022,2022-08-31,6877169000.0,61594305000.0,22106097000.0,47263390000.0,3325756000.0,10.87,274.30279541015625,0.31109829111850906,0.14550731549302748,0.01890216561542926,25.234847783823025,4.03,586669100
ACN,ACN,ACN,USA,Technology,Information Technology Services,Ireland,1.261,200514154082.05664,634137024.0,2021,2021-08-31,,,,,,,316.2000427246094,,,,,3.6100000000000003,500644900
ADBE,ADBE,ADBE,USA,Technology,Software - Application,United States,1.54,227231245373.53516,440200000.0,2024,2024-11-30,5560000000.0,21505000000.0,14105000000.0,30230000000.0,6056000000.0,12.43,516.2000122070312,0.3941864587025877,0.18392325504465762,0.026651264398277693,41.52856091770163,,827315000
ADBE,ADBE,ADBE,USA,Technology,Software - Application,United States,1.54,278192857446.28906,455300000.0,2023,2023-11-30,5428000000.0,19409000000.0,16518000000.0,29779000000.0,4080000000.0,11.87,611.010009765625,0.32861121201113935,0.18227610060781088,0.014666084663182732,51.475148253211884,,778164900
ADBE,ADBE,ADBE,USA,Technology,Software - Application,United States,1.54,163935567479.0039,475272000.0,2022,2022-11-30,4756000000.0,17606000000.0,14051000000.0,27165000000.0,4633000000.0,10.13,344.92999267578125,0.3384812468863426,0.17507822565801584,0.028261103256883975,34.05034478536833,,893341000
ADBE,ADBE,ADBE,USA,Technology,Software - Application,United States,1.54,318714618383.78906,475800000.0,2021,2021-11-30,4822000000.0,15785000000.0,14797000000.0,27241000000.0,4673000000.0,10.1,669.8499755859375,0.3258768669324863,0.1770125913145626,0.014662019657889921,66.32177976098392,,596439100
ADI,ADI,ADI,USA,Technology,Semiconductors,United States,1.039,108515923825.68457,496492992.0,2024,2024-10-31,1635273000.0,9427157000.0,35176317000.0,48228277000.0,7649817000.0,3.3,218.5648651123047,0.04648789695635276,0.03390693389274512,0.07049487974030746,66.231777306759,3.68,807568900
ADI,ADI,ADI,USA,Technology,Semiconductors,United States,1.039,75485581040.46094,498313984.0,2023,2023-10-31,3314579000.0,12305539000.0,35565122000.0,48794478000.0,7013478000.0,6.6,151.48196411132812,0.09319745901616758,0.06792938741961745,0.09291149254373116,22.951812744140625,3.44,837704700
ADI,ADI,ADI,USA,Technology,Semiconductors,United States,1.039,69326854076.18555,514342016.0,2022,2022-10-31,2748561000.0,12013953000.0,36465323000.0,50302350000.0,6602253000.0,5.29,134.78746032714844,0.07537465114459564,0.054640807039830146,0.09523370255261501,25.47967113934753,3.04,908667500
ADI,ADI,ADI,USA,Technology,Semiconductors,United States,1.039,87279423133.19629,537411008.0,2021,2021-10-31,,,,,,,162.40721130371094,,,,,2.76,883133100
ADM,ADM,ADM,USA,Consumer Defensive,Farm Products,United States,0.686,23267641330.64502,478534016.0,2024,2024-12-31,1800000000.0,85530000000.0,22168000000.0,53271000000.0,11538000000.0,3.76569,48.62275314331055,0.0811981234211476,0.0337894914681534,0.4958818058108749,12.91204351481682,2.0,1031703200
ADM,ADM,ADM,USA,Consumer Defensive,Farm Products,United States,0.686,36050482739.28223,533380992.0,2023,2023-12-31,3483000000.0,93935000000.0,24132000000.0,54631000000.0,9596000000.0,6.44,67.58861541748047,0.14433117851815017,0.06375501089125223,0.26618228858122245,10.49512661762119,1.8,752246400
ADM,ADM,ADM,USA,Consumer Defensive,Farm Products,United States,0.686,44712503929.24219,549334016.0,2022,2022-12-31,4340000000.0,101556000000.0,24284000000.0,59774000000.0,10288000000.0,7.934186,81.3940200805664,0.17871849777631363,0.07260681901830227,0.23009223586048375,10.258647841198378,1.6,814871100
ADM,ADM,ADM,USA,Consumer Defensive,Farm Products,United States,0.686,33798244163.836914,561222976.0,2021,2021-12-31,2709000000.0,85249000000.0,22477000000.0,56136000000.0,10581000000.0,4.8375,60.22248840332031,0.12052320149486141,0.04825780247969218,0.3130636002482444,12.449093209988694,1.48,632537500
ADP,ADP,ADP,USA,Technology,Software - Application,United States,0.86,93407507514.89062,409291008.0,2024,2024-06-30,3752000000.0,19202600000.0,4547600000.0,54362700000.0,3319900000.0,9.14,228.21783447265625,0.8250505761280675,0.06901791117806878,0.035542110996493036,24.96912849810243,5.739999999999999,416172900
ADP,ADP,ADP,USA,Technology,Software - Application,United States,0.86,85969085004.33398,413123008.0,2023,2023-06-30,3412000000.0,18012200000.0,3509100000.0,50971000000.0,3338900000.0,8.25,208.09561157226562,0.972329087230344,0.06694002471993879,0.03883838009712067,25.223710493607953,5.15,439269100
ADP,ADP,ADP,USA,Technology,Software - Application,United States,0.86,81382453733.64258,417747008.0,2022,2022-06-30,2948900000.0,16498300000.0,3225300000.0,63068200000.0,3358000000.0,7.04,194.81277465820312,0.9143025454996434,0.04675731985374563,0.04126196552134482,27.672269127585672,4.37,451671200
