Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalization,SharesOutstanding,AnneeFiscale,DateRapport,NetIncome,TotalRevenue,TotalEquity,TotalAssets,TotalDebt,EPS,EOD_Close_Price,ROE_calcule,ROA_calcule,DebtToEquity_calcule,PER_calcule,Dividendes_Annuels,Annual_Volume_Traded
ABI,ABI.BR,Anheuser-Busch InBev SA/NV,Eurostoxx,Consumer Defensive,Beverages - Brewers,Belgium,0.671,112569634633.5,1983320064.0,2023,2023-12-31,5341000000.0,59380000000.0,81848000000.0,219340000000.0,78168000000.0,2.65,56.7581787109375,0.06525510702766103,0.024350323698367832,0.6943968527080722,21.41818064563679,0.75,348426263
ABI,ABI.BR,Anheuser-Busch InBev SA/NV,Eurostoxx,Consumer Defensive,Beverages - Brewers,Belgium,0.671,107197858827.1289,1976169984.0,2022,2022-12-31,5969000000.0,57786000000.0,73398000000.0,212943000000.0,79991000000.0,2.97,54.245262145996094,0.08132374179132947,0.02803097542534857,0.7461996058055258,18.26439802895491,0.5,430393714
ABI,ABI.BR,Anheuser-Busch InBev SA/NV,Eurostoxx,Consumer Defensive,Beverages - Brewers,Belgium,0.671,87233699948.25,1737129984.0,2021,2021-12-31,4670000000.0,54304000000.0,68669000000.0,217627000000.0,88830000000.0,2.33,50.217140197753906,0.06800739780687064,0.02145873444012002,1.0182991212421,21.55242068573129,0.5,411434377
ABN,ABN.AS,ABN AMRO Bank N.V. - NLDR,Eurostoxx,Financial Services,Banks - Diversified,Netherlands,0.763,11721528340.644836,838120000.0,2024,2024-12-31,2403000000.0,8896000000.0,26106000000.0,385047000000.0,81538000000.0,2.72,13.985501289367676,0.09204780510227534,0.0062407965780800784,6.956260107930119,5.141728415208704,1.49,710072887
ABN,ABN.AS,ABN AMRO Bank N.V. - NLDR,Eurostoxx,Financial Services,Banks - Diversified,Netherlands,0.763,10224728225.49353,865574976.0,2023,2023-12-31,2697000000.0,8586000000.0,24166000000.0,377909000000.0,72225000000.0,2.99,11.812643051147461,0.11160307870561946,0.0071366387146111895,7.063757432683627,3.950716739514201,1.29,788758142
ABN,ABN.AS,ABN AMRO Bank N.V. - NLDR,Eurostoxx,Financial Services,Banks - Diversified,Netherlands,0.763,9211512503.979553,897521984.0,2022,2022-12-31,1867000000.0,7640000000.0,22813000000.0,379581000000.0,63962000000.0,1.96,10.263272285461426,0.08183930215228159,0.0049185812777773385,6.943702239167256,5.236363410949707,0.9299999999999999,800330429
ABN,ABN.AS,ABN AMRO Bank N.V. - NLDR,Eurostoxx,Financial Services,Banks - Diversified,Netherlands,0.763,8741132411.956787,940000000.0,2021,2021-12-31,1231000000.0,7340000000.0,21994000000.0,399113000000.0,67722000000.0,1.21,9.299077033996582,0.05596980994816768,0.003084339522892013,7.747508767555641,7.685187631402134,0.68,896712160
AC,AC.PA,Accor,Eurostoxx,Consumer Cyclical,Lodging,France,0.835,11165163260.745117,243928992.0,2024,2024-12-31,610000000.0,5606000000.0,5032000000.0,12057000000.0,3739000000.0,2.34,45.772186279296875,0.1212241653418124,0.05059301650493489,0.3348809070392827,19.560763367220886,1.18,182939357
AC,AC.PA,Accor,Eurostoxx,Consumer Cyclical,Lodging,France,0.835,8701039325.822754,266003008.0,2023,2023-12-31,633000000.0,5056000000.0,4931000000.0,11267000000.0,3369000000.0,2.509024,32.710304260253906,0.1283715270736159,0.056181769770125144,0.3871951239206052,13.037063121059784,1.05,183241122
AC,AC.PA,Accor,Eurostoxx,Consumer Cyclical,Lodging,France,0.835,5750969201.774902,264140992.0,2022,2022-12-31,402000000.0,4224000000.0,5059000000.0,11713000000.0,3316000000.0,1.4,21.77234649658203,0.07946234433682546,0.03432084009220524,0.5765984625646394,15.551676068987167,,189891905
AC,AC.PA,Accor,Eurostoxx,Consumer Cyclical,Lodging,France,0.835,6809390751.953125,261856000.0,2021,2021-12-31,85000000.0,2204000000.0,4283000000.0,10769000000.0,3527000000.0,0.19,26.00433349609375,0.019845902404856407,0.007893026279134553,0.5179611698724085,136.86491313733552,,204553789
ACA,ACA.PA,Credit Agricole S.A.,Eurostoxx,Financial Services,Banks - Regional,France,0.8,37920313607.504395,3047879936.0,2024,2024-12-31,7087000000.0,25328000000.0,74710000000.0,2309782000000.0,315576000000.0,2.109,12.441537857055664,0.0948601258198367,0.003068254926222475,8.322083073109074,5.899259296849532,1.05,1285818443
ACA,ACA.PA,Credit Agricole S.A.,Eurostoxx,Financial Services,Banks - Regional,France,0.8,34619467619.3374,3030589952.0,2023,2023-12-31,6348000000.0,23454000000.0,71086000000.0,2189398000000.0,280246000000.0,1.943,11.42334270477295,0.08930028416284501,0.0028994271484672957,8.09504071759506,5.879229390001518,1.05,1567393779
ACA,ACA.PA,Credit Agricole S.A.,Eurostoxx,Financial Services,Banks - Regional,France,0.8,24075895693.362305,3023280128.0,2022,2022-12-31,5306000000.0,20646000000.0,66519000000.0,2138086000000.0,239899000000.0,1.637,7.963501453399658,0.0797666832032953,0.0024816588294390403,9.964281414715543,4.8646923967010745,1.05,2064236432
