Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,AnneeFiscale,DateRapport,PER_calcule,ROE_calcule,ROA_calcule,DebtToEquity_calcule,EPS,EOD_Close_Price,NetIncome,TotalRevenue,TotalEquity,TotalAssets,TotalDebt,Dividendes_Annuels,Annual_Volume_Traded
A,A,A,USA,Healthcare,Diagnostics & Research,United States,1.274,2024,2024-10-31,29.112948168505415,0.21854866056290267,0.10881310146885025,0.5747711088504578,4.44,129.26148986816406,1289000000.0,6510000000.0,5898000000.0,11846000000.0,3390000000.0,0.956,431039100.0
A,A,A,USA,Healthcare,Diagnostics & Research,United States,1.274,2023,2023-10-31,24.134515699052134,0.21214713430282292,0.11520951407600112,0.4679213002566296,4.22,101.84765625,1240000000.0,6833000000.0,5845000000.0,10763000000.0,2735000000.0,0.911,461257500.0
A,A,A,USA,Healthcare,Diagnostics & Research,United States,1.274,2022,2022-10-31,32.30458261858592,0.23638077285579642,0.11906570451955943,0.5219604147031103,4.19,135.356201171875,1254000000.0,6848000000.0,5305000000.0,10532000000.0,2769000000.0,1.065,427282800.0
A,A,A,USA,Healthcare,Diagnostics & Research,United States,1.274,2021,2021-10-31,38.362696662021044,0.22453145295973279,0.11303129378794956,0.5064019298571163,3.98,152.68353271484375,1210000000.0,6319000000.0,5389000000.0,10705000000.0,2729000000.0,0.776,407756900.0
AAPL,AAPL,AAPL,USA,Technology,Consumer Electronics,United States,1.107,2024,2024-09-30,37.92079045222356,1.6459350307287095,0.25682503150857583,1.872326602282704,6.11,231.69602966308594,93736000000.0,391035000000.0,56950000000.0,364980000000.0,106629000000.0,0.99,14351427800.0
AAPL,AAPL,AAPL,USA,Technology,Consumer Electronics,United States,1.107,2023,2023-09-30,27.905518668038503,1.5607601454639075,0.27509834563776475,1.7875325845589418,6.16,171.8979949951172,96995000000.0,383285000000.0,62146000000.0,352583000000.0,111088000000.0,0.95,14805886900.0
AAPL,AAPL,AAPL,USA,Technology,Consumer Electronics,United States,1.107,2022,2022-09-30,22.100914435658026,1.9695887275023682,0.2829244092925685,2.6144616356173036,6.15,135.92062377929688,99803000000.0,394328000000.0,50672000000.0,352755000000.0,132480000000.0,0.91,22065504500.0
AAPL,AAPL,AAPL,USA,Technology,Consumer Electronics,United States,1.107,2021,2021-09-30,,,,,,138.39065551757812,,,,,,0.865,22748143800.0
ABBV,ABBV,ABBV,USA,Healthcare,Drug Manufacturers - General,United States,0.349,2024,2024-12-31,70.84817042758873,1.2866165413533834,0.03165114197142667,20.193684210526317,2.423443,171.69650268554688,4278000000.0,56334000000.0,3325000000.0,135161000000.0,67144000000.0,6.2,1398187700.0
ABBV,ABBV,ABBV,USA,Healthcare,Drug Manufacturers - General,United States,0.349,2023,2023-12-31,54.09842876681149,0.4694015444015444,0.036099501896652834,5.732142857142857,2.753773,148.97479248046875,4863000000.0,54318000000.0,10360000000.0,134711000000.0,59385000000.0,5.92,1375884500.0
